SampleID	Stage	Reads
IM-24-036-MMML_S27	Amplicons	162853
IM-24-036-MMML_S27	OutputDada2	150361
IM-24-036-MMML_S27	OutputPostprocessing	149722
IM-24-036-MUQM_S121	Input	519580
IM-24-036-MUQM_S121	No Dimers	513747
IM-24-036-MUQM_S121	Amplicons	477002
IM-24-036-MUQM_S121	OutputDada2	440613
IM-24-036-MUQM_S121	OutputPostprocessing	437914
IM-24-036-MZPB_S433	Input	97478
IM-24-036-MZPB_S433	No Dimers	97010
IM-24-036-MZPB_S433	Amplicons	89461
IM-24-036-MZPB_S433	OutputDada2	83035
IM-24-036-MZPB_S433	OutputPostprocessing	82687
IM-24-036-NGMC_S431	Input	145072
IM-24-036-NGMC_S431	No Dimers	143447
IM-24-036-NGMC_S431	Amplicons	131825
IM-24-036-NGMC_S431	OutputDada2	122117
IM-24-036-NGMC_S431	OutputPostprocessing	121524
IM-24-036-NRGX_S428	Input	57866
IM-24-036-NRGX_S428	No Dimers	57502
IM-24-036-NRGX_S428	Amplicons	52927
IM-24-036-NRGX_S428	OutputDada2	48990
IM-24-036-NRGX_S428	OutputPostprocessing	48905
IM-24-036-NRTL_S36	Input	260443
IM-24-036-NRTL_S36	No Dimers	258699
IM-24-036-NRTL_S36	Amplicons	240110
IM-24-036-NRTL_S36	OutputDada2	221990
IM-24-036-NRTL_S36	OutputPostprocessing	221376
IM-24-036-PCBV_S37	Input	239720
IM-24-036-PCBV_S37	No Dimers	237186
IM-24-036-PCBV_S37	Amplicons	221176
IM-24-036-PCBV_S37	OutputDada2	204340
IM-24-036-PCBV_S37	OutputPostprocessing	203044
IM-24-036-PPXY_S21	Input	138136
IM-24-036-PPXY_S21	No Dimers	136569
IM-24-036-PPXY_S21	Amplicons	127530
IM-24-036-PPXY_S21	OutputDada2	118130
IM-24-036-PPXY_S21	OutputPostprocessing	118031
IM-24-036-QLMX_S432	Input	138430
IM-24-036-QLMX_S432	No Dimers	137102
IM-24-036-QLMX_S432	Amplicons	125745
IM-24-036-QLMX_S432	OutputDada2	116252
IM-24-036-QLMX_S432	OutputPostprocessing	115670
IM-24-036-QVCT_S32	Input	267775
IM-24-036-QVCT_S32	No Dimers	266367
IM-24-036-QVCT_S32	Amplicons	247119
IM-24-036-QVCT_S32	OutputDada2	228263
IM-24-036-QVCT_S32	OutputPostprocessing	226257
IM-24-036-QYFM_S19	Input	146866
IM-24-036-QYFM_S19	No Dimers	146146
IM-24-036-QYFM_S19	Amplicons	136158
IM-24-036-QYFM_S19	OutputDada2	126862
IM-24-036-QYFM_S19	OutputPostprocessing	126795
IM-24-036-RLMJ_S15	Input	242376
IM-24-036-RLMJ_S15	No Dimers	240311
IM-24-036-RLMJ_S15	Amplicons	223230
IM-24-036-RLMJ_S15	OutputDada2	206360
IM-24-036-RLMJ_S15	OutputPostprocessing	204842
IM-24-036-RPUV_S109	Input	114621
IM-24-036-RPUV_S109	No Dimers	114007
IM-24-036-RPUV_S109	Amplicons	106041
IM-24-036-RPUV_S109	OutputDada2	98079
IM-24-036-RPUV_S109	OutputPostprocessing	97864
IM-24-036-RQDV_S17	Input	288535
IM-24-036-RQDV_S17	No Dimers	287145
IM-24-036-RQDV_S17	Amplicons	266707
IM-24-036-RQDV_S17	OutputDada2	246449
IM-24-036-RQDV_S17	OutputPostprocessing	246023
IM-24-036-RUSW_S104	Input	528633
IM-24-036-RUSW_S104	No Dimers	525246
IM-24-036-RUSW_S104	Amplicons	482529
IM-24-036-RUSW_S104	OutputDada2	446620
IM-24-036-RUSW_S104	OutputPostprocessing	444126
IM-24-036-RVKB_S124	Input	163953
IM-24-036-RVKB_S124	No Dimers	162608
IM-24-036-RVKB_S124	Amplicons	151693
IM-24-036-RVKB_S124	OutputDada2	140119
IM-24-036-RVKB_S124	OutputPostprocessing	139892
IM-24-036-SBXS_S22	Input	186564
IM-24-036-SBXS_S22	No Dimers	184027
IM-24-036-SBXS_S22	Amplicons	171137
IM-24-036-SBXS_S22	OutputDada2	158197
IM-24-036-SBXS_S22	OutputPostprocessing	157550
IM-24-036-SZWD_S98	Input	327080
IM-24-036-SZWD_S98	No Dimers	326630
IM-24-036-SZWD_S98	Amplicons	300023
IM-24-036-SZWD_S98	OutputDada2	277504
IM-24-036-SZWD_S98	OutputPostprocessing	275473
IM-24-036-TCLZ_S430	Input	99417
IM-24-036-TCLZ_S430	No Dimers	98663
IM-24-036-TCLZ_S430	Amplicons	90592
IM-24-036-TCLZ_S430	OutputDada2	83769
IM-24-036-TCLZ_S430	OutputPostprocessing	82918
IM-24-036-TPFN_S434	Input	103456
IM-24-036-TPFN_S434	No Dimers	102520
IM-24-036-TPFN_S434	Amplicons	94196
IM-24-036-TPFN_S434	OutputDada2	87292
IM-24-036-TPFN_S434	OutputPostprocessing	87060
IM-24-036-UDYG_S108	Input	109860
IM-24-036-UDYG_S108	No Dimers	108935
IM-24-036-UDYG_S108	Amplicons	101470
IM-24-036-UDYG_S108	OutputDada2	93863
IM-24-036-UDYG_S108	OutputPostprocessing	93636
IM-24-036-UJRS_S14	Input	103792
IM-24-036-UJRS_S14	No Dimers	102940
IM-24-036-UJRS_S14	Amplicons	95753
IM-24-036-UJRS_S14	OutputDada2	88793
IM-24-036-UJRS_S14	OutputPostprocessing	88492
IM-24-036-USQN_S106	Input	63045
IM-24-036-USQN_S106	No Dimers	62352
IM-24-036-USQN_S106	Amplicons	58054
IM-24-036-USQN_S106	OutputDada2	53857
IM-24-036-USQN_S106	OutputPostprocessing	53651
IM-24-036-VNRF_S101	Input	212845
IM-24-036-VNRF_S101	No Dimers	211716
IM-24-036-VNRF_S101	Amplicons	196169
IM-24-036-VNRF_S101	OutputDada2	181430
IM-24-036-VNRF_S101	OutputPostprocessing	180702
IM-24-036-VRWC_S112	Input	242736
IM-24-036-VRWC_S112	No Dimers	237997
IM-24-036-VRWC_S112	Amplicons	220714
IM-24-036-VRWC_S112	OutputDada2	203874
IM-24-036-VRWC_S112	OutputPostprocessing	203514
IM-24-036-VRXV_S111	Input	196927
IM-24-036-VRXV_S111	No Dimers	196150
IM-24-036-VRXV_S111	Amplicons	181955
IM-24-036-VRXV_S111	OutputDada2	167433
IM-24-036-VRXV_S111	OutputPostprocessing	166676
IM-24-036-VUWZ_S118	Input	206137
IM-24-036-VUWZ_S118	No Dimers	204803
IM-24-036-VUWZ_S118	Amplicons	190656
IM-24-036-VUWZ_S118	OutputDada2	176683
IM-24-036-VUWZ_S118	OutputPostprocessing	175801
IM-24-036-WAFA_S439	Input	358089
IM-24-036-WAFA_S439	No Dimers	356291
IM-24-036-WAFA_S439	Amplicons	329228
IM-24-036-WAFA_S439	OutputDada2	304723
IM-24-036-WAFA_S439	OutputPostprocessing	303297
IM-24-036-WCRJ_S26	Input	306937
IM-24-036-WCRJ_S26	No Dimers	305185
IM-24-036-WCRJ_S26	Amplicons	284083
IM-24-036-WCRJ_S26	OutputDada2	263015
IM-24-036-WCRJ_S26	OutputPostprocessing	262300
IM-24-036-WFBS_S24	Input	322138
IM-24-036-WFBS_S24	No Dimers	319178
IM-24-036-WFBS_S24	Amplicons	295556
IM-24-036-WFBS_S24	OutputDada2	273042
IM-24-036-WFBS_S24	OutputPostprocessing	271368
IM-24-036-WGUS_S13	Input	118275
IM-24-036-WGUS_S13	No Dimers	117370
IM-24-036-WGUS_S13	Amplicons	109496
IM-24-036-WGUS_S13	OutputDada2	101212
IM-24-036-WGUS_S13	OutputPostprocessing	101085
IM-24-036-WJDC_S105	Input	279574
IM-24-036-WJDC_S105	No Dimers	275642
IM-24-036-WJDC_S105	Amplicons	255047
IM-24-036-WJDC_S105	OutputDada2	236071
IM-24-036-WJDC_S105	OutputPostprocessing	234602
IM-24-036-WQLY_S116	Input	67544
IM-24-036-WQLY_S116	No Dimers	66003
IM-24-036-WQLY_S116	Amplicons	61571
IM-24-036-WQLY_S116	OutputDada2	57017
IM-24-036-WQLY_S116	OutputPostprocessing	56976
IM-24-036-WXJR_S120	Input	441826
IM-24-036-WXJR_S120	No Dimers	439892
IM-24-036-WXJR_S120	Amplicons	407685
IM-24-036-WXJR_S120	OutputDada2	377247
IM-24-036-WXJR_S120	OutputPostprocessing	375875
IM-24-036-XUBY_S110	Input	108171
IM-24-036-XUBY_S110	No Dimers	107340
IM-24-036-XUBY_S110	Amplicons	100367
IM-24-036-XUBY_S110	OutputDada2	92134
IM-24-036-XUBY_S110	OutputPostprocessing	91830
IM-24-036-XZTF_S99	Input	329530
IM-24-036-XZTF_S99	No Dimers	325457
IM-24-036-XZTF_S99	Amplicons	301342
IM-24-036-XZTF_S99	OutputDada2	278688
IM-24-036-XZTF_S99	OutputPostprocessing	277649
IM-24-036-YCAR_S115	Input	172178
IM-24-036-YCAR_S115	No Dimers	136270
IM-24-036-YCAR_S115	Amplicons	124463
IM-24-036-YCAR_S115	OutputDada2	115288
IM-24-036-YCAR_S115	OutputPostprocessing	114591
IM-24-036-YGQF_S427	Input	91638
IM-24-036-YGQF_S427	No Dimers	91332
IM-24-036-YGQF_S427	Amplicons	84067
IM-24-036-YGQF_S427	OutputDada2	77805
IM-24-036-YGQF_S427	OutputPostprocessing	77428
IM-24-036-YMPJ_S20	Input	97461
IM-24-036-YMPJ_S20	No Dimers	96920
IM-24-036-YMPJ_S20	Amplicons	90461
IM-24-036-YMPJ_S20	OutputDada2	83104
IM-24-036-YMPJ_S20	OutputPostprocessing	82946
IM-24-036-YVYX_S122	Input	250650
IM-24-036-YVYX_S122	No Dimers	249144
IM-24-036-YVYX_S122	Amplicons	231726
IM-24-036-YVYX_S122	OutputDada2	214221
IM-24-036-YVYX_S122	OutputPostprocessing	212517
IM-24-036-ZDPA_S119	Input	199821
IM-24-036-ZDPA_S119	No Dimers	198758
IM-24-036-ZDPA_S119	Amplicons	185325
IM-24-036-ZDPA_S119	OutputDada2	171831
IM-24-036-ZDPA_S119	OutputPostprocessing	170710
IM-24-036-ZFNA_S3	Input	170298
IM-24-036-ZFNA_S3	No Dimers	169703
IM-24-036-ZFNA_S3	Amplicons	157789
IM-24-036-ZFNA_S3	OutputDada2	145801
IM-24-036-ZFNA_S3	OutputPostprocessing	145602
IM-24-036-ZQVB_S25	Input	297469
IM-24-036-ZQVB_S25	No Dimers	296091
IM-24-036-ZQVB_S25	Amplicons	275834
IM-24-036-ZQVB_S25	OutputDada2	254932
IM-24-036-ZQVB_S25	OutputPostprocessing	254550
IM-24-036-ZTTN_S38	Input	235945
IM-24-036-ZTTN_S38	No Dimers	232261
IM-24-036-ZTTN_S38	Amplicons	216321
IM-24-036-ZTTN_S38	OutputDada2	200035
IM-24-036-ZTTN_S38	OutputPostprocessing	197925
IM-24-044-AGYR_S58	Input	211784
IM-24-044-AGYR_S58	No Dimers	209849
IM-24-044-AGYR_S58	Amplicons	195676
IM-24-044-AGYR_S58	OutputDada2	181809
IM-24-044-AGYR_S58	OutputPostprocessing	181112
IM-24-044-ASXY_S57	Input	401086
IM-24-044-ASXY_S57	No Dimers	399000
IM-24-044-ASXY_S57	Amplicons	371555
IM-24-044-ASXY_S57	OutputDada2	344143
IM-24-044-ASXY_S57	OutputPostprocessing	342911
IM-24-044-AZDS_S157	Input	212278
IM-24-044-AZDS_S157	No Dimers	210058
IM-24-044-AZDS_S157	Amplicons	195521
IM-24-044-AZDS_S157	OutputDada2	181039
IM-24-044-AZDS_S157	OutputPostprocessing	179319
IM-24-044-BJBV_S59	Input	212205
IM-24-044-BJBV_S59	No Dimers	210892
IM-24-044-BJBV_S59	Amplicons	197148
IM-24-044-BJBV_S59	OutputDada2	182639
IM-24-044-BJBV_S59	OutputPostprocessing	181367
IM-24-044-BLAP_S61	Input	194780
IM-24-044-BLAP_S61	No Dimers	192916
IM-24-044-BLAP_S61	Amplicons	178533
IM-24-044-BLAP_S61	OutputDada2	163317
IM-24-044-BLAP_S61	OutputPostprocessing	161961
IM-24-044-BPSZ_S155	Input	170250
IM-24-044-BPSZ_S155	No Dimers	169354
IM-24-044-BPSZ_S155	Amplicons	157811
IM-24-044-BPSZ_S155	OutputDada2	145644
IM-24-044-BPSZ_S155	OutputPostprocessing	144722
IM-24-044-CZBR_S156	Input	270844
IM-24-044-CZBR_S156	No Dimers	268671
IM-24-044-CZBR_S156	Amplicons	249226
IM-24-044-CZBR_S156	OutputDada2	230621
IM-24-044-CZBR_S156	OutputPostprocessing	228765
IM-24-044-DFVF_S159	Input	299342
IM-24-044-DFVF_S159	No Dimers	296179
IM-24-044-DFVF_S159	Amplicons	274238
IM-24-044-DFVF_S159	OutputDada2	254039
IM-24-044-DFVF_S159	OutputPostprocessing	251511
IM-24-044-DGQK_S65	Input	340252
IM-24-044-DGQK_S65	No Dimers	338766
IM-24-044-DGQK_S65	Amplicons	316078
IM-24-044-DGQK_S65	OutputDada2	292566
IM-24-044-DGQK_S65	OutputPostprocessing	290581
IM-24-044-DHYG_S64	Input	479918
IM-24-044-DHYG_S64	No Dimers	476916
IM-24-044-DHYG_S64	Amplicons	441374
IM-24-044-DHYG_S64	OutputDada2	408110
IM-24-044-DHYG_S64	OutputPostprocessing	404602
IM-24-044-HGZZ_S450	Input	273896
IM-24-044-HGZZ_S450	No Dimers	273180
IM-24-044-HGZZ_S450	Amplicons	252957
IM-24-044-HGZZ_S450	OutputDada2	233861
IM-24-044-HGZZ_S450	OutputPostprocessing	233049
IM-24-044-JYJB_S125	Input	149781
IM-24-044-JYJB_S125	No Dimers	147916
IM-24-044-JYJB_S125	Amplicons	137632
IM-24-044-JYJB_S125	OutputDada2	127383
IM-24-044-JYJB_S125	OutputPostprocessing	126657
IM-24-044-JYSS_S39	Input	349448
IM-24-044-JYSS_S39	No Dimers	344483
IM-24-044-JYSS_S39	Amplicons	320240
IM-24-044-JYSS_S39	OutputDada2	296189
IM-24-044-JYSS_S39	OutputPostprocessing	295112
IM-24-044-JZJL_S55	Input	277449
IM-24-044-JZJL_S55	No Dimers	274499
IM-24-044-JZJL_S55	Amplicons	255268
IM-24-044-JZJL_S55	OutputDada2	236027
IM-24-044-JZJL_S55	OutputPostprocessing	234058
IM-24-044-JZWC_S440	Input	90554
IM-24-044-JZWC_S440	No Dimers	84292
IM-24-044-JZWC_S440	Amplicons	76471
IM-24-044-JZWC_S440	OutputDada2	70465
IM-24-044-JZWC_S440	OutputPostprocessing	68066
IM-24-044-KFHU_S127	Input	235386
IM-24-044-KFHU_S127	No Dimers	233239
IM-24-044-KFHU_S127	Amplicons	216909
IM-24-044-KFHU_S127	OutputDada2	200631
IM-24-044-KFHU_S127	OutputPostprocessing	200175
IM-24-044-KMDC_S128	Input	423356
IM-24-044-KMDC_S128	No Dimers	421435
IM-24-044-KMDC_S128	Amplicons	390447
IM-24-044-KMDC_S128	OutputDada2	361064
IM-24-044-KMDC_S128	OutputPostprocessing	358885
IM-24-044-KXJF_S40	Input	358541
IM-24-044-KXJF_S40	No Dimers	352159
IM-24-044-KXJF_S40	Amplicons	325725
IM-24-044-KXJF_S40	OutputDada2	296629
IM-24-044-KXJF_S40	OutputPostprocessing	294456
IM-24-044-KYAR_S129	Input	478334
IM-24-044-KYAR_S129	No Dimers	474167
IM-24-044-KYAR_S129	Amplicons	440809
IM-24-044-KYAR_S129	OutputDada2	407516
IM-24-044-KYAR_S129	OutputPostprocessing	405534
IM-24-044-LCLB_S131	Input	194028
IM-24-044-LCLB_S131	No Dimers	190811
IM-24-044-LCLB_S131	Amplicons	177919
IM-24-044-LCLB_S131	OutputDada2	164505
IM-24-044-LCLB_S131	OutputPostprocessing	164038
IM-24-044-LMLB_S441	Input	374080
IM-24-044-LMLB_S441	No Dimers	371803
IM-24-044-LMLB_S441	Amplicons	344995
IM-24-044-LMLB_S441	OutputDada2	319055
IM-24-044-LMLB_S441	OutputPostprocessing	317719
IM-24-044-LYTX_S132	Input	257361
IM-24-044-LYTX_S132	No Dimers	255639
IM-24-044-LYTX_S132	Amplicons	237964
IM-24-044-LYTX_S132	OutputDada2	219900
IM-24-044-LYTX_S132	OutputPostprocessing	218864
IM-24-044-MNML_S133	Input	207151
IM-24-044-MNML_S133	No Dimers	204921
IM-24-044-MNML_S133	Amplicons	190360
IM-24-044-MNML_S133	OutputDada2	175331
IM-24-044-MNML_S133	OutputPostprocessing	174586
IM-24-044-MOGT_S134	Input	271391
IM-24-044-MOGT_S134	No Dimers	269595
IM-24-044-MOGT_S134	Amplicons	250902
IM-24-044-MOGT_S134	OutputDada2	232394
IM-24-044-MOGT_S134	OutputPostprocessing	231869
IM-24-044-MQIV_S135	Input	444608
IM-24-044-MQIV_S135	No Dimers	441225
IM-24-044-MQIV_S135	Amplicons	407775
IM-24-044-MQIV_S135	OutputDada2	377200
IM-24-044-MQIV_S135	OutputPostprocessing	374661
IM-24-044-MUJG_S442	Input	276372
IM-24-044-MUJG_S442	No Dimers	274505
IM-24-044-MUJG_S442	Amplicons	253983
IM-24-044-MUJG_S442	OutputDada2	235204
IM-24-044-MUJG_S442	OutputPostprocessing	233944
IM-24-044-MWDS_S41	Input	387518
IM-24-044-MWDS_S41	No Dimers	386367
IM-24-044-MWDS_S41	Amplicons	359404
IM-24-044-MWDS_S41	OutputDada2	331504
IM-24-044-MWDS_S41	OutputPostprocessing	330770
IM-24-044-NDUH_S136	Input	614632
IM-24-044-NDUH_S136	No Dimers	607790
IM-24-044-NDUH_S136	Amplicons	562136
IM-24-044-NDUH_S136	OutputDada2	519463
IM-24-044-NDUH_S136	OutputPostprocessing	517349
IM-24-044-NGVQ_S137	Input	379693
IM-24-044-NGVQ_S137	No Dimers	375962
IM-24-044-NGVQ_S137	Amplicons	349168
IM-24-044-NGVQ_S137	OutputDada2	323345
IM-24-044-NGVQ_S137	OutputPostprocessing	322146
IM-24-044-NJGF_S138	Input	231594
IM-24-044-NJGF_S138	No Dimers	230259
IM-24-044-NJGF_S138	Amplicons	214694
IM-24-044-NJGF_S138	OutputDada2	198371
IM-24-044-NJGF_S138	OutputPostprocessing	198065
IM-24-044-OCDC_S45	Input	120534
IM-24-044-OCDC_S45	No Dimers	119167
IM-24-044-OCDC_S45	Amplicons	111117
IM-24-044-OCDC_S45	OutputDada2	102768
IM-24-044-OCDC_S45	OutputPostprocessing	101879
IM-24-044-OJUA_S145	Input	416561
IM-24-044-OJUA_S145	No Dimers	412538
IM-24-044-OJUA_S145	Amplicons	383472
IM-24-044-OJUA_S145	OutputDada2	354614
IM-24-044-OJUA_S145	OutputPostprocessing	352669
IM-24-044-PSKJ_S149	Input	188372
IM-24-044-PSKJ_S149	No Dimers	186821
IM-24-044-PSKJ_S149	Amplicons	174127
IM-24-044-PSKJ_S149	OutputDada2	160959
IM-24-044-PSKJ_S149	OutputPostprocessing	160757
IM-24-044-PSSF_S147	Input	260422
IM-24-044-PSSF_S147	No Dimers	259133
IM-24-044-PSSF_S147	Amplicons	241141
IM-24-044-PSSF_S147	OutputDada2	222178
IM-24-044-PSSF_S147	OutputPostprocessing	220922
IM-24-044-PVUW_S146	Input	270334
IM-24-044-PVUW_S146	No Dimers	267862
IM-24-044-PVUW_S146	Amplicons	249375
IM-24-044-PVUW_S146	OutputDada2	230829
IM-24-044-PVUW_S146	OutputPostprocessing	229928
IM-24-044-PXTH_S42	Input	228293
IM-24-044-PXTH_S42	No Dimers	227316
IM-24-044-PXTH_S42	Amplicons	212348
IM-24-044-PXTH_S42	OutputDada2	196319
IM-24-044-PXTH_S42	OutputPostprocessing	195947
IM-24-044-QLTT_S139	Input	159293
IM-24-044-QLTT_S139	No Dimers	157062
IM-24-044-QLTT_S139	Amplicons	146439
IM-24-044-QLTT_S139	OutputDada2	135671
IM-24-044-QLTT_S139	OutputPostprocessing	135058
IM-24-044-QSCJ_S154	Input	258020
IM-24-044-QSCJ_S154	No Dimers	257036
IM-24-044-QSCJ_S154	Amplicons	238645
IM-24-044-QSCJ_S154	OutputDada2	220803
IM-24-044-QSCJ_S154	OutputPostprocessing	218627
IM-24-044-QSMX_S43	Input	133649
IM-24-044-QSMX_S43	No Dimers	132907
IM-24-044-QSMX_S43	Amplicons	124492
IM-24-044-QSMX_S43	OutputDada2	115260
IM-24-044-QSMX_S43	OutputPostprocessing	115157
IM-24-044-QTBV_S44	Input	117201
IM-24-044-QTBV_S44	No Dimers	116338
IM-24-044-QTBV_S44	Amplicons	109109
IM-24-044-QTBV_S44	OutputDada2	100980
IM-24-044-QTBV_S44	OutputPostprocessing	100735
IM-24-044-QVJM_S448	Input	365444
IM-24-044-QVJM_S448	No Dimers	362657
IM-24-044-QVJM_S448	Amplicons	334903
IM-24-044-QVJM_S448	OutputDada2	309372
IM-24-044-QVJM_S448	OutputPostprocessing	307244
IM-24-044-RDQQ_S140	Input	218315
IM-24-044-RDQQ_S140	No Dimers	217187
IM-24-044-RDQQ_S140	Amplicons	202557
IM-24-044-RDQQ_S140	OutputDada2	186794
IM-24-044-RDQQ_S140	OutputPostprocessing	185869
IM-24-044-RHOT_S141	Input	198711
IM-24-044-RHOT_S141	No Dimers	197767
IM-24-044-RHOT_S141	Amplicons	184367
IM-24-044-RHOT_S141	OutputDada2	170425
IM-24-044-RHOT_S141	OutputPostprocessing	170022
IM-24-044-RWOK_S142	Input	304309
IM-24-044-RWOK_S142	No Dimers	302197
IM-24-044-RWOK_S142	Amplicons	281423
IM-24-044-RWOK_S142	OutputDada2	260571
IM-24-044-RWOK_S142	OutputPostprocessing	259647
IM-24-044-RYYM_S449	Input	303186
IM-24-044-RYYM_S449	No Dimers	302442
IM-24-044-RYYM_S449	Amplicons	279210
IM-24-044-RYYM_S449	OutputDada2	258295
IM-24-044-RYYM_S449	OutputPostprocessing	256512
IM-24-044-SCAH_S451	Input	309000
IM-24-044-SCAH_S451	No Dimers	307831
IM-24-044-SCAH_S451	Amplicons	284400
IM-24-044-SCAH_S451	OutputDada2	263127
IM-24-044-SCAH_S451	OutputPostprocessing	261507
IM-24-044-SDCF_S60	Input	203245
IM-24-044-SDCF_S60	No Dimers	201553
IM-24-044-SDCF_S60	Amplicons	187238
IM-24-044-SDCF_S60	OutputDada2	172061
IM-24-044-SDCF_S60	OutputPostprocessing	171104
IM-24-044-SFNP_S144	Input	378089
IM-24-044-SFNP_S144	No Dimers	373492
IM-24-044-SFNP_S144	Amplicons	346045
IM-24-044-SFNP_S144	OutputDada2	319277
IM-24-044-SFNP_S144	OutputPostprocessing	317063
IM-24-044-SKBF_S47	Input	183589
IM-24-044-SKBF_S47	No Dimers	182379
IM-24-044-SKBF_S47	Amplicons	169901
IM-24-044-SKBF_S47	OutputDada2	157169
IM-24-044-SKBF_S47	OutputPostprocessing	156073
IM-24-044-SMJK_S150	Input	274228
IM-24-044-SMJK_S150	No Dimers	272139
IM-24-044-SMJK_S150	Amplicons	253229
IM-24-044-SMJK_S150	OutputDada2	234418
IM-24-044-SMJK_S150	OutputPostprocessing	234051
IM-24-044-SMVJ_S160	Input	506274
IM-24-044-SMVJ_S160	No Dimers	500881
IM-24-044-SMVJ_S160	Amplicons	463281
IM-24-044-SMVJ_S160	OutputDada2	428872
IM-24-044-SMVJ_S160	OutputPostprocessing	424970
IM-24-044-TLQS_S153	Input	488889
IM-24-044-TLQS_S153	No Dimers	486359
IM-24-044-TLQS_S153	Amplicons	449052
IM-24-044-TLQS_S153	OutputDada2	415215
IM-24-044-TLQS_S153	OutputPostprocessing	412417
IM-24-044-TWSM_S54	Input	226913
IM-24-044-TWSM_S54	No Dimers	224736
IM-24-044-TWSM_S54	Amplicons	209386
IM-24-044-TWSM_S54	OutputDada2	193769
IM-24-044-TWSM_S54	OutputPostprocessing	191412
IM-24-044-UHQM_S48	Input	279004
IM-24-044-UHQM_S48	No Dimers	277228
IM-24-044-UHQM_S48	Amplicons	258321
IM-24-044-UHQM_S48	OutputDada2	238928
IM-24-044-UHQM_S48	OutputPostprocessing	236455
IM-24-044-UKFD_S63	Input	349873
IM-24-044-UKFD_S63	No Dimers	347506
IM-24-044-UKFD_S63	Amplicons	321523
IM-24-044-UKFD_S63	OutputDada2	297036
IM-24-044-UKFD_S63	OutputPostprocessing	293548
IM-24-044-UKQG_S445	Input	402469
IM-24-044-UKQG_S445	No Dimers	399731
IM-24-044-UKQG_S445	Amplicons	369688
IM-24-044-UKQG_S445	OutputDada2	340710
IM-24-044-UKQG_S445	OutputPostprocessing	336820
IM-24-044-ULMT_S49	Input	390157
IM-24-044-ULMT_S49	No Dimers	387976
IM-24-044-ULMT_S49	Amplicons	363008
IM-24-044-ULMT_S49	OutputDada2	335274
IM-24-044-ULMT_S49	OutputPostprocessing	334424
IM-24-044-UQPJ_S50	Input	303779
IM-24-044-UQPJ_S50	No Dimers	299394
IM-24-044-UQPJ_S50	Amplicons	279278
IM-24-044-UQPJ_S50	OutputDada2	258447
IM-24-044-UQPJ_S50	OutputPostprocessing	258173
IM-24-044-UUAB_S151	Input	318546
IM-24-044-UUAB_S151	No Dimers	314721
IM-24-044-UUAB_S151	Amplicons	292274
IM-24-044-UUAB_S151	OutputDada2	270384
IM-24-044-UUAB_S151	OutputPostprocessing	268499
IM-24-044-UXPI_S447	Input	377018
IM-24-044-UXPI_S447	No Dimers	374559
IM-24-044-UXPI_S447	Amplicons	346288
IM-24-044-UXPI_S447	OutputDada2	320293
IM-24-044-UXPI_S447	OutputPostprocessing	318749
IM-24-044-UZMH_S51	Input	223936
IM-24-044-UZMH_S51	No Dimers	222220
IM-24-044-UZMH_S51	Amplicons	207472
IM-24-044-UZMH_S51	OutputDada2	192014
IM-24-044-UZMH_S51	OutputPostprocessing	191483
IM-24-044-UZSV_S152	Input	536570
IM-24-044-UZSV_S152	No Dimers	533564
IM-24-044-UZSV_S152	Amplicons	494770
IM-24-044-UZSV_S152	OutputDada2	457980
IM-24-044-UZSV_S152	OutputPostprocessing	455899
IM-24-044-VAAF_S162	Input	280911
IM-24-044-VAAF_S162	No Dimers	279301
IM-24-044-VAAF_S162	Amplicons	259738
IM-24-044-VAAF_S162	OutputDada2	240049
IM-24-044-VAAF_S162	OutputPostprocessing	239126
IM-24-044-VLSU_S446	Input	327622
IM-24-044-VLSU_S446	No Dimers	326156
IM-24-044-VLSU_S446	Amplicons	302079
IM-24-044-VLSU_S446	OutputDada2	279558
IM-24-044-VLSU_S446	OutputPostprocessing	278223
IM-24-044-VRRV_S161	Input	473578
IM-24-044-VRRV_S161	No Dimers	469881
IM-24-044-VRRV_S161	Amplicons	436872
IM-24-044-VRRV_S161	OutputDada2	402482
IM-24-044-VRRV_S161	OutputPostprocessing	400491
IM-24-044-VXPP_S444	Input	408849
IM-24-044-VXPP_S444	No Dimers	407232
IM-24-044-VXPP_S444	Amplicons	377537
IM-24-044-VXPP_S444	OutputDada2	349123
IM-24-044-VXPP_S444	OutputPostprocessing	348351
IM-24-044-WGHW_S56	Input	353390
IM-24-044-WGHW_S56	No Dimers	350055
IM-24-044-WGHW_S56	Amplicons	325732
IM-24-044-WGHW_S56	OutputDada2	300818
IM-24-044-WGHW_S56	OutputPostprocessing	297791
IM-24-044-WQPU_S62	Input	257706
IM-24-044-WQPU_S62	No Dimers	254606
IM-24-044-WQPU_S62	Amplicons	236214
IM-24-044-WQPU_S62	OutputDada2	218578
IM-24-044-WQPU_S62	OutputPostprocessing	216388
IM-24-044-WUNF_S53	Input	224443
IM-24-044-WUNF_S53	No Dimers	222007
IM-24-044-WUNF_S53	Amplicons	206583
IM-24-044-WUNF_S53	OutputDada2	190822
IM-24-044-WUNF_S53	OutputPostprocessing	190587
IM-24-044-YPSQ_S158	Input	358608
IM-24-044-YPSQ_S158	No Dimers	356955
IM-24-044-YPSQ_S158	Amplicons	330512
IM-24-044-YPSQ_S158	OutputDada2	305911
IM-24-044-YPSQ_S158	OutputPostprocessing	303478
IM-24-054-AVSX_S387	Input	139112
IM-24-054-AVSX_S387	No Dimers	135891
