SampleID	Stage	Reads
IM-24-030-DQDR_S466	OutputDada2	225491
IM-24-030-DQDR_S466	OutputPostprocessing	224000
IM-24-030-DQQV_S179	Input	116210
IM-24-030-DQQV_S179	No Dimers	115148
IM-24-030-DQQV_S179	Amplicons	107401
IM-24-030-DQQV_S179	OutputDada2	99561
IM-24-030-DQQV_S179	OutputPostprocessing	99110
IM-24-030-DUJD_S461	Input	267774
IM-24-030-DUJD_S461	No Dimers	267543
IM-24-030-DUJD_S461	Amplicons	247034
IM-24-030-DUJD_S461	OutputDada2	228605
IM-24-030-DUJD_S461	OutputPostprocessing	227310
IM-24-030-DULD_S94	Input	241847
IM-24-030-DULD_S94	No Dimers	240798
IM-24-030-DULD_S94	Amplicons	223692
IM-24-030-DULD_S94	OutputDada2	207098
IM-24-030-DULD_S94	OutputPostprocessing	205681
IM-24-030-DUWY_S181	Input	93962
IM-24-030-DUWY_S181	No Dimers	93204
IM-24-030-DUWY_S181	Amplicons	87063
IM-24-030-DUWY_S181	OutputDada2	80671
IM-24-030-DUWY_S181	OutputPostprocessing	80422
IM-24-030-DWJM_S185	Input	489641
IM-24-030-DWJM_S185	No Dimers	487241
IM-24-030-DWJM_S185	Amplicons	450793
IM-24-030-DWJM_S185	OutputDada2	416687
IM-24-030-DWJM_S185	OutputPostprocessing	413357
IM-24-030-DWYH_S164	Input	308423
IM-24-030-DWYH_S164	No Dimers	307213
IM-24-030-DWYH_S164	Amplicons	286260
IM-24-030-DWYH_S164	OutputDada2	265682
IM-24-030-DWYH_S164	OutputPostprocessing	264413
IM-24-030-FCCF_S95	Input	210262
IM-24-030-FCCF_S95	No Dimers	209867
IM-24-030-FCCF_S95	Amplicons	194717
IM-24-030-FCCF_S95	OutputDada2	180338
IM-24-030-FCCF_S95	OutputPostprocessing	178713
IM-24-030-FTFR_S84	Input	185681
IM-24-030-FTFR_S84	No Dimers	184480
IM-24-030-FTFR_S84	Amplicons	171709
IM-24-030-FTFR_S84	OutputDada2	158883
IM-24-030-FTFR_S84	OutputPostprocessing	158201
IM-24-030-FYMV_S176	Input	68976
IM-24-030-FYMV_S176	No Dimers	66871
IM-24-030-FYMV_S176	Amplicons	62129
IM-24-030-FYMV_S176	OutputDada2	57376
IM-24-030-FYMV_S176	OutputPostprocessing	56868
IM-24-030-GRDR_S67	Input	233254
IM-24-030-GRDR_S67	No Dimers	232060
IM-24-030-GRDR_S67	Amplicons	216142
IM-24-030-GRDR_S67	OutputDada2	198819
IM-24-030-GRDR_S67	OutputPostprocessing	197871
IM-24-030-GVDY_S187	Input	418051
IM-24-030-GVDY_S187	No Dimers	415637
IM-24-030-GVDY_S187	Amplicons	385081
IM-24-030-GVDY_S187	OutputDada2	356143
IM-24-030-GVDY_S187	OutputPostprocessing	354515
IM-24-030-GXFN_S169	Input	194665
IM-24-030-GXFN_S169	No Dimers	193451
IM-24-030-GXFN_S169	Amplicons	180202
IM-24-030-GXFN_S169	OutputDada2	166651
IM-24-030-GXFN_S169	OutputPostprocessing	165074
IM-24-030-GYPL_S73	Input	314345
IM-24-030-GYPL_S73	No Dimers	312968
IM-24-030-GYPL_S73	Amplicons	291428
IM-24-030-GYPL_S73	OutputDada2	269495
IM-24-030-GYPL_S73	OutputPostprocessing	268248
IM-24-030-HLUN_S83	Input	189942
IM-24-030-HLUN_S83	No Dimers	188778
IM-24-030-HLUN_S83	Amplicons	175839
IM-24-030-HLUN_S83	OutputDada2	162423
IM-24-030-HLUN_S83	OutputPostprocessing	161531
IM-24-030-HRGP_S188	Input	255430
IM-24-030-HRGP_S188	No Dimers	253761
IM-24-030-HRGP_S188	Amplicons	235667
IM-24-030-HRGP_S188	OutputDada2	217753
IM-24-030-HRGP_S188	OutputPostprocessing	216337
IM-24-030-HRWF_S190	Input	324284
IM-24-030-HRWF_S190	No Dimers	322987
IM-24-030-HRWF_S190	Amplicons	298029
IM-24-030-HRWF_S190	OutputDada2	276020
IM-24-030-HRWF_S190	OutputPostprocessing	274190
IM-24-030-HTGZ_S186	Input	353446
IM-24-030-HTGZ_S186	No Dimers	352351
IM-24-030-HTGZ_S186	Amplicons	326947
IM-24-030-HTGZ_S186	OutputDada2	302911
IM-24-030-HTGZ_S186	OutputPostprocessing	301452
IM-24-030-HYNL_S460	Input	261321
IM-24-030-HYNL_S460	No Dimers	260810
IM-24-030-HYNL_S460	Amplicons	241759
IM-24-030-HYNL_S460	OutputDada2	223697
IM-24-030-HYNL_S460	OutputPostprocessing	223098
IM-24-030-JFPA_S174	Input	55496
IM-24-030-JFPA_S174	No Dimers	54849
IM-24-030-JFPA_S174	Amplicons	51383
IM-24-030-JFPA_S174	OutputDada2	47656
IM-24-030-JFPA_S174	OutputPostprocessing	47486
IM-24-030-JFQD_S85	Input	143575
IM-24-030-JFQD_S85	No Dimers	142503
IM-24-030-JFQD_S85	Amplicons	132720
IM-24-030-JFQD_S85	OutputDada2	122781
IM-24-030-JFQD_S85	OutputPostprocessing	122185
IM-24-030-JJJQ_S172	Input	28239
IM-24-030-JJJQ_S172	No Dimers	27691
IM-24-030-JJJQ_S172	Amplicons	25915
IM-24-030-JJJQ_S172	OutputDada2	24004
IM-24-030-JJJQ_S172	OutputPostprocessing	23943
IM-24-030-JQHR_S166	Input	350979
IM-24-030-JQHR_S166	No Dimers	349917
IM-24-030-JQHR_S166	Amplicons	325612
IM-24-030-JQHR_S166	OutputDada2	300918
IM-24-030-JQHR_S166	OutputPostprocessing	299850
IM-24-030-JRHV_S93	Input	157425
IM-24-030-JRHV_S93	No Dimers	157159
IM-24-030-JRHV_S93	Amplicons	146747
IM-24-030-JRHV_S93	OutputDada2	135569
IM-24-030-JRHV_S93	OutputPostprocessing	134337
IM-24-030-JRZD_S454	Input	403064
IM-24-030-JRZD_S454	No Dimers	402620
IM-24-030-JRZD_S454	Amplicons	373543
IM-24-030-JRZD_S454	OutputDada2	346000
IM-24-030-JRZD_S454	OutputPostprocessing	344556
IM-24-030-JSMG_S180	Input	87252
IM-24-030-JSMG_S180	No Dimers	86788
IM-24-030-JSMG_S180	Amplicons	80888
IM-24-030-JSMG_S180	OutputDada2	74926
IM-24-030-JSMG_S180	OutputPostprocessing	74763
IM-24-030-JUAL_S72	Input	354708
IM-24-030-JUAL_S72	No Dimers	353288
IM-24-030-JUAL_S72	Amplicons	327897
IM-24-030-JUAL_S72	OutputDada2	298458
IM-24-030-JUAL_S72	OutputPostprocessing	295285
IM-24-030-JWDQ_S191	Input	197100
IM-24-030-JWDQ_S191	No Dimers	195117
IM-24-030-JWDQ_S191	Amplicons	181085
IM-24-030-JWDQ_S191	OutputDada2	167603
IM-24-030-JWDQ_S191	OutputPostprocessing	166057
IM-24-030-KGAQ_S170	Input	30219
IM-24-030-KGAQ_S170	No Dimers	30086
IM-24-030-KGAQ_S170	Amplicons	28212
IM-24-030-KGAQ_S170	OutputDada2	26114
IM-24-030-KGAQ_S170	OutputPostprocessing	25988
IM-24-030-KGWA_S71	Input	325650
IM-24-030-KGWA_S71	No Dimers	323728
IM-24-030-KGWA_S71	Amplicons	300100
IM-24-030-KGWA_S71	OutputDada2	278004
