SampleID	Stage	Reads
IM-24-030-PZXL_S81_L001	Input	203100
IM-24-030-PZXL_S81_L001	No Dimers	201714
IM-24-030-PZXL_S81_L001	Amplicons	186897
IM-24-030-PZXL_S81_L001	OutputDada2	185817
IM-24-030-PZXL_S81_L001	OutputPostprocessing	184437
IM-24-030-QCFP_S68_L001	Input	1
IM-24-030-QCFP_S68_L001	No Dimers	1
IM-24-030-QCFP_S68_L001	Amplicons	1
IM-24-030-QCFP_S68_L001	OutputDada2	1
IM-24-030-QCFP_S68_L001	OutputPostprocessing	1
IM-24-030-RGPV_S91_L001	Input	149924
IM-24-030-RGPV_S91_L001	No Dimers	149734
IM-24-030-RGPV_S91_L001	Amplicons	139714
IM-24-030-RGPV_S91_L001	OutputDada2	138903
IM-24-030-RGPV_S91_L001	OutputPostprocessing	138076
IM-24-030-RKXW_S70_L001	Input	191414
IM-24-030-RKXW_S70_L001	No Dimers	188686
IM-24-030-RKXW_S70_L001	Amplicons	175420
IM-24-030-RKXW_S70_L001	OutputDada2	174337
IM-24-030-RKXW_S70_L001	OutputPostprocessing	173263
IM-24-030-SBPN_S92_L001	Input	100178
IM-24-030-SBPN_S92_L001	No Dimers	100057
IM-24-030-SBPN_S92_L001	Amplicons	93284
IM-24-030-SBPN_S92_L001	OutputDada2	92275
IM-24-030-SBPN_S92_L001	OutputPostprocessing	91735
IM-24-030-SYFU_S80_L001	Input	201714
IM-24-030-SYFU_S80_L001	No Dimers	200434
IM-24-030-SYFU_S80_L001	Amplicons	185999
IM-24-030-SYFU_S80_L001	OutputDada2	184979
IM-24-030-SYFU_S80_L001	OutputPostprocessing	183968
IM-24-030-TMSA_S88_L001	Input	249034
IM-24-030-TMSA_S88_L001	No Dimers	247538
IM-24-030-TMSA_S88_L001	Amplicons	229440
IM-24-030-TMSA_S88_L001	OutputDada2	227929
IM-24-030-TMSA_S88_L001	OutputPostprocessing	227046
IM-24-030-WQHK_S82_L001	Input	155833
IM-24-030-WQHK_S82_L001	No Dimers	154834
IM-24-030-WQHK_S82_L001	Amplicons	143804
IM-24-030-WQHK_S82_L001	OutputDada2	142592
IM-24-030-WQHK_S82_L001	OutputPostprocessing	141969
IM-24-030-WZVY_S77_L001	Input	97701
IM-24-030-WZVY_S77_L001	No Dimers	97058
IM-24-030-WZVY_S77_L001	Amplicons	90057
IM-24-030-WZVY_S77_L001	OutputDada2	89571
IM-24-030-WZVY_S77_L001	OutputPostprocessing	89086
IM-24-030-XKPN_S75_L001	Input	202395
IM-24-030-XKPN_S75_L001	No Dimers	201149
IM-24-030-XKPN_S75_L001	Amplicons	187389
IM-24-030-XKPN_S75_L001	OutputDada2	185890
IM-24-030-XKPN_S75_L001	OutputPostprocessing	185051
IM-24-030-ZCCV_S66_L001	Input	247820
IM-24-030-ZCCV_S66_L001	No Dimers	246389
IM-24-030-ZCCV_S66_L001	Amplicons	228046
IM-24-030-ZCCV_S66_L001	OutputDada2	226833
IM-24-030-ZCCV_S66_L001	OutputPostprocessing	225879
IM-24-036-AKGG_S11_L001	Input	113576
IM-24-036-AKGG_S11_L001	No Dimers	113051
IM-24-036-AKGG_S11_L001	Amplicons	105232
IM-24-036-AKGG_S11_L001	OutputDada2	104639
IM-24-036-AKGG_S11_L001	OutputPostprocessing	104454
IM-24-036-BHMX_S9_L001	Input	164352
IM-24-036-BHMX_S9_L001	No Dimers	160523
IM-24-036-BHMX_S9_L001	Amplicons	148811
IM-24-036-BHMX_S9_L001	OutputDada2	147870
IM-24-036-BHMX_S9_L001	OutputPostprocessing	147684
IM-24-036-BSTZ_S1_L001	Input	192914
IM-24-036-BSTZ_S1_L001	No Dimers	191649
IM-24-036-BSTZ_S1_L001	Amplicons	177611
IM-24-036-BSTZ_S1_L001	OutputDada2	176648
IM-24-036-BSTZ_S1_L001	OutputPostprocessing	176505
IM-24-036-FGTR_S29_L001	Input	82193
IM-24-036-FGTR_S29_L001	No Dimers	81605
IM-24-036-FGTR_S29_L001	Amplicons	76205
IM-24-036-FGTR_S29_L001	OutputDada2	75629
IM-24-036-FGTR_S29_L001	OutputPostprocessing	75369
IM-24-036-GFSY_S2_L001	Input	148799
IM-24-036-GFSY_S2_L001	No Dimers	148338
IM-24-036-GFSY_S2_L001	Amplicons	137563
IM-24-036-GFSY_S2_L001	OutputDada2	136571
IM-24-036-GFSY_S2_L001	OutputPostprocessing	136373
IM-24-036-GXMV_S4_L001	Input	97509
IM-24-036-GXMV_S4_L001	No Dimers	97027
IM-24-036-GXMV_S4_L001	Amplicons	90266
IM-24-036-GXMV_S4_L001	OutputDada2	89636
IM-24-036-GXMV_S4_L001	OutputPostprocessing	89546
IM-24-036-HGDW_S18_L001	Input	156778
IM-24-036-HGDW_S18_L001	No Dimers	155787
